codigo,creditos,tipoEstudio,horas
PRARNOP240101,2,Estudios Específicos,3
PRARNOP240102,3,Estudios Generales,4
PRARNOP240103,2,Estudios de Especialidad,3
PRARNOP240104,2,Estudios Generales,3
PRARNOP240105,2,Estudios Generales,3
PRARNOP240106,3,Estudios Generales,4
PRARNOP240107,3,Estudios Generales,4
PRARNOP240108,4,Estudios Generales,6
PRARNOP240209,3,Estudios Específicos,4
PRARNOP240210,2,Estudios Generales,3
PRARNOP240211,2,Estudios de Especialidad,3
PRARNOP240212,3,Estudios de Especialidad,4
PRARNOP240213,2,Estudios Específicos,3
PRARNOP240214,3,Estudios Específicos,4
PRARNOP240215,3,Estudios de Especialidad,4
PRARNOP240216,4,Estudios de Especialidad,6
PRARNOP240317,3,Estudios Específicos,4
PRARNOP240318,2,Estudios Específicos,3
PRARNOP240319,3,Estudios de Especialidad,4
PRARNOP240320,3,Estudios Específicos,4
PRARNOP240321,3,Estudios Específicos,4
PRARNOP240322,3,Estudios de Especialidad,4
PRARNOP240323,4,Estudios Generales,6
PRARNOP240424,3,Estudios de Especialidad,4
PRARNOP240425,2,Estudios de Especialidad,3
PRARNOP240426,3,Estudios Específicos,4
PRARNOP240427,3,Estudios Específicos,4
PRARNOP240428,3,Estudios Específicos,4
PRARNOP240429,3,Estudios de Especialidad,4
PRARNOP240430,4,Estudios Generales,6
PRARNOP240531,3,Estudios de Especialidad,4
PRARNOP240532,3,Estudios Específicos,4
PRARNOP240533,3,Estudios de Especialidad,4
PRARNOP240534,3,Estudios Específicos,4
PRARNOP240535,3,Estudios de Especialidad,4
PRARNOP240536,2,Estudios de Especialidad,3
PRARNOP240537,4,Estudios Generales,6
PRARNOP240638,3,Estudios de Especialidad,4
PRARNOP240639,3,Estudios de Especialidad,4
PRARNOP240640,3,Estudios de Especialidad,5
PRARNOP240641,3,Estudios Específicos,4
PRARNOP240642,3,Estudios de Especialidad,4
PRARNOP240643,2,Estudios Específicos,3
PRARNOP240644,4,Estudios Generales,6
PRARNOP240745,3,Estudios de Especialidad,4
PRARNOP240746,2,Estudios de Especialidad,3
PRARNOP240747,3,Estudios de Especialidad,4
PRARNOP240748,2,Estudios Específicos,3
PRARNOP240749,2,Estudios de Especialidad,2
PRARNOP240750,3,Estudios Específicos,4
PRARNOP240751,4,Estudios Específicos,6
PRARNOP240852,2,Estudios de Especialidad,3
PRARNOP240853,3,Estudios de Especialidad,4
PRARNOP240854,2,Estudios Específicos,3
PRARNOP240855,2,Estudios Específicos,3
PRARNOP240856,5,Estudios de Especialidad,8
PRARNOP240857,4,Estudios de Especialidad,6
PRARNOP240958,2,Estudios de Especialidad,3
PRARNOP240959,4,Estudios de Especialidad,6
PRARNOP240960,2,Estudios Específicos,3
PRARNOP240961,2,Estudios Específicos,3
PRARNOP240962,2,Estudios Específicos,2
PRARNOP240963,5,Estudios Específicos,8
PRARNOP241064,3,Estudios Específicos,4
PRARNOP241065,3,Estudios Específicos,4
PRARNOP241066,5,Estudios de Especialidad,8
PRARNOP241067,2,Estudios de Especialidad,3
PRARNOP241068,2,Estudios de Especialidad,3
PRARNOP241069,4,Estudios Específicos,6
PRICNOP240101,2,Estudios Generales,2
PRICNOP240102,2,Estudios Generales,2
PRICNOP240103,3,Estudios Generales,4
PRICNOP240104,4,Estudios de Especialidad,6
PRICNOP240105,3,Estudios Generales,4
PRICNOP240106,3,Estudios Generales,4
PRICNOP240107,4,Estudios de Especialidad,6
PRICNOP240208,2,Estudios Generales,2
PRICNOP240209,3,Estudios de Especialidad,4
PRICNOP240210,4,Estudios Específicos,6
PRICNOP240211,3,Estudios Generales,4
PRICNOP240212,3,Estudios Generales,4
PRICNOP240213,3,Estudios de Especialidad,4
PRICNOP240214,3,Estudios Generales,4
PRICNOP240315,2,Estudios Específicos,2
PRICNOP240316,2,Estudios Específicos,2
PRICNOP240317,4,Estudios de Especialidad,6
PRICNOP240318,3,Estudios de Especialidad,4
PRICNOP240319,3,Estudios de Especialidad,4
PRICNOP240320,3,Estudios de Especialidad,4
PRICNOP240321,4,Estudios de Especialidad,6
PRICNOP240422,3,Estudios Generales,4
PRICNOP240423,3,Estudios de Especialidad,4
PRICNOP240424,4,Estudios Específicos,6
PRICNOP240425,3,Estudios Específicos,4
PRICNOP240426,4,Estudios de Especialidad,6
PRICNOP240427,4,Estudios de Especialidad,6
PRICNOP240528,2,Estudios Generales,2
PRICNOP240529,4,Estudios de Especialidad,6
PRICNOP240530,3,Estudios de Especialidad,4
PRICNOP240531,3,Estudios de Especialidad,4
PRICNOP240532,4,Estudios Específicos,6
PRICNOP240533,4,Estudios Específicos,6
PRICNOP240634,2,Estudios Generales,2
PRICNOP240635,4,Estudios de Especialidad,6
PRICNOP240636,4,Estudios de Especialidad,6
PRICNOP240637,3,Estudios de Especialidad,4
PRICNOP240638,3,Estudios de Especialidad,4
PRICNOP240639,3,Estudios de Especialidad,4
PRICNOP240740,3,Estudios de Especialidad,4
PRICNOP240741,4,Estudios de Especialidad,6
PRICNOP240742,4,Estudios de Especialidad,6
PRICNOP240743,3,Estudios Específicos,4
PRICNOP240744,3,Estudios de Especialidad,4
PRICNOP240745,3,Estudios de Especialidad,4
PRICNOP240846,3,Estudios de Especialidad,4
PRICNOP240847,4,Estudios de Especialidad,6
PRICNOP240848,4,Estudios Específicos,6
PRICNOP240849,4,Estudios de Especialidad,6
PRICNOP240850,4,Estudios de Especialidad,6
PRICNOP240951,5,Estudios de Especialidad,8
PRICNOP240952,3,Estudios de Especialidad,4
PRICNOP240953,3,Estudios de Especialidad,4
PRICNOP240954,3,Estudios de Especialidad,4
PRICNOP240955,5,Estudios de Especialidad,10
PRICNOP241056,4,Estudios de Especialidad,6
PRICNOP241057,4,Estudios Generales,6
PRICNOP241058,3,Estudios de Especialidad,4
PRICNOP241059,3,Estudios de Especialidad,4
PRICNOP241060,5,Estudios de Especialidad,10
PRIINOP01,2,Estudios Generales,3
PRIINOP02,2,Estudios Generales,3
PRIINOP03,3,Estudios Generales,4
PRIINOP04,4,Estudios de Especialidad,6
PRIINOP05,4,Estudios Específicos,6
PRIINOP06,2,Estudios Generales,2
PRIINOP07,4,Estudios de Especialidad,5
PRIINOP08,2,Estudios Generales,3
PRIINOP09,2,Estudios Específicos,3
PRIINOP10,4,Estudios Específicos,6
PRIINOP11,4,Estudios Específicos,6
PRIINOP12,2,Estudios Generales,3
PRIINOP13,4,Estudios Específicos,6
PRIINOP14,2,Estudios Generales,3
PRIINOP15,2,Estudios Generales,3
PRIINOP16,4,Estudios de Especialidad,6
PRIINOP17,4,Estudios de Especialidad,6
PRIINOP18,4,Estudios de Especialidad,6
PRIINOP19,3,Estudios Específicos,4
PRIINOP20,2,Estudios de Especialidad,3
PRIINOP21,3,Estudios Generales,4
PRIINOP22,3,Estudios de Especialidad,4
PRIINOP23,3,Estudios de Especialidad,4
PRIINOP24,4,Estudios de Especialidad,6
PRIINOP25,2,Estudios Específicos,3
PRIINOP26,4,Estudios de Especialidad,6
PRIINOP27,3,Estudios Generales,4
PRIINOP28,2,Estudios Generales,3
PRIINOP29,3,Estudios de Especialidad,4
PRIINOP30,4,Estudios de Especialidad,6
PRIINOP31,2,Estudios de Especialidad,3
PRIINOP32,4,Estudios de Especialidad,6
PRIINOP33,2,Estudios Generales,3
PRIINOP34,2,Estudios de Especialidad,3
PRIINOP35,2,Estudios Generales,3
PRIINOP36,3,Estudios de Especialidad,4
PRIINOP37,4,Estudios de Especialidad,6
PRIINOP38,3,Estudios de Especialidad,5
PRIINOP39,4,Estudios Específicos,6
PRIINOP40,3,Estudios de Especialidad,4
PRIINOP41,3,Estudios Generales,4
PRIINOP42,3,Estudios de Especialidad,4
PRIINOP43,4,Estudios de Especialidad,6
PRIINOP44,3,Estudios de Especialidad,4
PRIINOP45,3,Estudios de Especialidad,4
PRIINOP46,3,Estudios de Especialidad,4
PRIINOP47,2,Estudios Específicos,3
PRIINOP48,3,Estudios Específicos,4
PRIINOP49,3,Estudios Específicos,5
PRIINOP50,3,Estudios de Especialidad,5
PRIINOP51,4,Estudios de Especialidad,6
PRIINOP52,2,Estudios de Especialidad,3
PRIINOP53,2,Estudios de Especialidad,3
PRIINOP54,1,Estudios Específicos,2
PRIINOP55,5,Estudios Específicos,8
PRIINOP56,3,Estudios Generales,5
PRIINOP57,3,Estudios de Especialidad,5
PRIINOP58,4,Estudios de Especialidad,6
PRIINOP59,1,Estudios Específicos,2
PRIINOP60,4,Estudios de Especialidad,7
PRIINOP61,5,Estudios Específicos,8
PRIINOP62,4,Estudios de Especialidad,6
PRIINOP63,4,Estudios de Especialidad,6
PRIINOP64,4,Estudios Específicos,6
PRIINOP65,4,Estudios de Especialidad,7
PRIANOP240101,2,Estudios Generales,2
PRIANOP240102,3,Estudios Generales,4
PRIANOP240103,3,Estudios de Especialidad,4
PRIANOP240104,4,Estudios Generales,5
PRIANOP240105,5,Estudios Generales,7
PRIANOP240106,2,Estudios Generales,2
PRIANOP240107,3,Estudios Generales,4
PRIANOP240208,2,Estudios Generales,2
PRIANOP240209,3,Estudios de Especialidad,5
PRIANOP240210,3,Estudios Específicos,4
PRIANOP240211,2,Estudios de Especialidad,2
PRIANOP240212,4,Estudios de Especialidad,5
PRIANOP240213,2,Estudios Generales,2
PRIANOP240214,2,Estudios Generales,2
PRIANOP240315,3,Estudios Específicos,4
PRIANOP240316,3,Estudios Específicos,4
PRIANOP240317,3,Estudios de Especialidad,4
PRIANOP240318,3,Estudios Específicos,4
PRIANOP240319,4,Estudios Específicos,5
PRIANOP240320,3,Estudios Generales,4
PRIANOP240321,3,Estudios Generales,4
PRIANOP240422,2,Estudios de Especialidad,2
PRIANOP240423,4,Estudios de Especialidad,6
PRIANOP240424,3,Estudios Específicos,4
PRIANOP240425,3,Estudios Específicos,4
PRIANOP240426,3,Estudios Específicos,4
PRIANOP240427,3,Estudios de Especialidad,4
PRIANOP240428,4,Estudios Generales,6
PRIANOP240529,3,Estudios de Especialidad,4
PRIANOP240530,3,Estudios Específicos,4
PRIANOP240531,3,Estudios de Especialidad,4
PRIANOP240532,3,Estudios Específicos,4
PRIANOP240533,3,Estudios de Especialidad,4
PRIANOP240534,3,Estudios de Especialidad,4
PRIANOP240535,3,Estudios de Especialidad,5
PRIANOP240636,3,Estudios de Especialidad,4
PRIANOP240637,3,Estudios de Especialidad,4
PRIANOP240638,3,Estudios de Especialidad,4
PRIANOP240639,3,Estudios Específicos,4
PRIANOP240640,3,Estudios de Especialidad,4
PRIANOP240641,3,Estudios Específicos,4
PRIANOP240642,3,Estudios de Especialidad,4
PRIANOP240743,2,Estudios de Especialidad,2
PRIANOP240744,3,Estudios de Especialidad,4
PRIANOP240745,3,Estudios de Especialidad,4
PRIANOP240746,4,Estudios Específicos,5
PRIANOP240747,3,Estudios de Especialidad,4
PRIANOP240748,3,Estudios Específicos,5
PRIANOP240749,3,Estudios Específicos,4
PRIANOP240850,3,Estudios de Especialidad,4
PRIANOP240851,2,Estudios de Especialidad,2
PRIANOP240852,3,Estudios Específicos,4
PRIANOP240853,2,Estudios de Especialidad,2
PRIANOP240854,5,Estudios Específicos,6
PRIANOP240855,3,Estudios de Especialidad,4
PRIANOP240856,3,Estudios de Especialidad,4
PRIANOP240957,2,Estudios de Especialidad,2
PRIANOP240958,3,Estudios de Especialidad,4
PRIANOP240959,3,Estudios Específicos,5
PRIANOP240960,3,Estudios de Especialidad,4
PRIANOP240961,5,Estudios Específicos,7
PRIANOP240962,3,Estudios de Especialidad,4
PRIANOP241063,3,Estudios de Especialidad,4
PRIANOP241064,4,Estudios Específicos,6
PRIANOP241065,2,Estudios de Especialidad,3
PRIANOP241066,4,Estudios de Especialidad,5
PRIENOP240101,3,Estudios de Especialidad,4
PRIENOP240102,2,Estudios Generales,2
PRIENOP240103,3,Estudios Específicos,4
PRIENOP240104,4,Estudios Específicos,5
PRIENOP240105,3,Estudios de Especialidad,5
PRIENOP240106,4,Estudios de Especialidad,5
PRIENOP240107,2,Estudios Generales,3
PRIENOP240208,2,Estudios Generales,3
PRIENOP240209,2,Estudios Generales,3
PRIENOP240210,4,Estudios Específicos,6
PRIENOP240211,3,Estudios Específicos,4
PRIENOP240212,2,Estudios Generales,3
PRIENOP240213,4,Estudios Específicos,5
PRIENOP240214,4,Estudios Específicos,5
PRIENOP240315,2,Estudios Generales,3
PRIENOP240316,2,Estudios Generales,2
PRIENOP240317,3,Estudios de Especialidad,5
PRIENOP240318,2,Estudios Generales,3
PRIENOP240319,4,Estudios Específicos,5
PRIENOP240320,3,Estudios Específicos,4
PRIENOP240321,3,Estudios Específicos,4
PRIENOP240422,3,Estudios Generales,4
PRIENOP240423,3,Estudios Generales,4
PRIENOP240424,3,Estudios de Especialidad,4
PRIENOP240425,3,Estudios Específicos,4
PRIENOP240426,3,Estudios de Especialidad,5
PRIENOP240427,3,Estudios Específicos,4
PRIENOP240428,2,Estudios Generales,3
PRIENOP240529,2,Estudios de Especialidad,3
PRIENOP240530,3,Estudios de Especialidad,4
PRIENOP240531,3,Estudios de Especialidad,4
PRIENOP240532,3,Estudios de Especialidad,4
PRIENOP240533,3,Estudios Específicos,4
PRIENOP240534,3,Estudios de Especialidad,5
PRIENOP240535,2,Estudios Generales,3
PRIENOP240636,3,Estudios Específicos,4
PRIENOP240637,3,Estudios Generales,4
PRIENOP240638,2,Estudios de Especialidad,3
PRIENOP240639,3,Estudios de Especialidad,4
PRIENOP240640,3,Estudios Generales,4
PRIENOP240641,3,Estudios Específicos,4
PRIENOP240642,3,Estudios de Especialidad,5
PRIENOP240743,3,Estudios de Especialidad,4
PRIENOP240744,2,Estudios de Especialidad,3
PRIENOP240745,3,Estudios Generales,4
PRIENOP240746,3,Estudios de Especialidad,4
PRIENOP240747,3,Estudios Específicos,4
PRIENOP240748,3,Estudios de Especialidad,4
PRIENOP240749,3,Estudios de Especialidad,4
PRIENOP240850,2,Estudios Específicos,3
PRIENOP240851,3,Estudios de Especialidad,4
PRIENOP240852,3,Estudios de Especialidad,4
PRIENOP240853,3,Estudios de Especialidad,4
PRIENOP240854,5,Estudios Específicos,7
PRIENOP240855,3,Estudios de Especialidad,4
PRIENOP240956,3,Estudios de Especialidad,4
PRIENOP240957,4,Estudios Específicos,6
PRIENOP240958,3,Estudios de Especialidad,4
PRIENOP240959,3,Estudios Específicos,4
PRIENOP240960,4,Estudios Específicos,6
PRIENOP240961,4,Estudios de Especialidad,7
PRIENOP241062,3,Estudios de Especialidad,5
PRIENOP241063,4,Estudios de Especialidad,7
PRIENOP241064,4,Estudios Específicos,6
PRIENOP241065,3,Estudios de Especialidad,4
PRIENOP241066,3,Estudios de Especialidad,4
PRIENOP241067,3,Estudios de Especialidad,4
PRIINOP240101,3,Estudios de Especialidad,4
PRIINOP240102,2,Estudios Generales,2
PRIINOP240103,3,Estudios Específicos,4
PRIINOP240104,4,Estudios Específicos,6
PRIINOP240105,4,Estudios Generales,5
PRIINOP240106,3,Estudios Específicos,4
PRIINOP240107,2,Estudios de Especialidad,2
PRIINOP240208,2,Estudios Generales,3
PRIINOP240209,2,Estudios Específicos,3
PRIINOP240210,3,Estudios Generales,4
PRIINOP240211,3,Estudios Específicos,4
PRIINOP240212,2,Estudios Generales,3
PRIINOP240213,4,Estudios de Especialidad,5
PRIINOP240214,4,Estudios Específicos,5
PRIINOP240315,2,Estudios Generales,3
PRIINOP240316,2,Estudios Generales,3
PRIINOP240317,3,Estudios de Especialidad,4
PRIINOP240318,2,Estudios Generales,3
PRIINOP240319,4,Estudios Específicos,5
PRIINOP240320,3,Estudios Específicos,4
PRIINOP240321,3,Estudios de Especialidad,4
PRIINOP240422,3,Estudios Generales,4
PRIINOP240423,3,Estudios de Especialidad,4
PRIINOP240424,3,Estudios de Especialidad,4
PRIINOP240425,4,Estudios Específicos,6
PRIINOP240426,3,Estudios de Especialidad,4
